Report Name: Bing_Raw,,,,,,,,
"Report Time: 1/2/2017,4/11/2017",,,,,,,,
"Time Zone: (GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",,,,,,,,
Last Completed Available Day: 5/11/2017 4:35:00 AM (GMT),,,,,,,,
Last Completed Available Hour: 5/11/2017 4:35:00 AM (GMT),,,,,,,,
Report Aggregation: Day,,,,,,,,
Report Filter: ,,,,,,,,
Rows: 3473,,,,,,,,
,,,,,,,,
Gregorian date,Account name,Device type,Campaign name,Ad distribution,Impressions,Clicks,Spend,Conversions
3/23/2017,Fruits Inc,Computer,Search_PAN_Lime_Brand_BMM_Desktop,Search,72,5,36.76,0
3/23/2017,Fruits Inc,Computer,Search_PAN_Lime_Brand_Exact_Desktop,Search,47,13,74.85,1
3/23/2017,Fruits Inc,Computer,Search_PAN_Lime_ELSS_BMM_Desktop,Search,31,0,0,0
3/23/2017,Fruits Inc,Smartphone,Search_PAN_Lime_Brand_BMM_Desktop,Search,35,3,27.4,0
3/23/2017,Fruits Inc,Smartphone,Search_PAN_Lime_Brand_Exact_Desktop,Search,11,1,3.34,0
,,,,,,,,
©2017 Microsoft Corporation. All rights reserved. ,,,,,,,,
